product_id,product_title,rating,total_reviews,price,top_reviews
B0D98YFKJN,"Apple iPhone 15 Plus, 128GB, Black (Renewed)",,4,795,"Very happy with this phone, I wanted a bigger phone and this is it, the screen froze a few times to start with and I thought I would have to return it but hopefully it seems to have sorted itself out now. Read more || I upgraded from 7 Plus and am absolutely loving it. As reviews will tell, this model has a better battery life than the most expensive flavor of the line. Tried to paddle away to the Android camp with Samsung's latest flagship, but promptly came back. It is a nice phone that will hopefully last me until ver. 23 or so. Some tiny scratches on the camera lens cover do not give me sleepless nights. Read more"
B0FHJNDQBR,Google,,739,929,"I have been using this phone for a couple of weeks now, and as a pixel 4, then pixel 7 user, the 10 is just so good! Read more || UPAY isn't working on my end for some reason. Can you's get the admin team to work on this asap Read more"
